Make_name,Make_Desc,Make_guid,Product_Model_Name,Model_Desc,Model_guid,Model_Specifications_1,Model_Specifications_2,Quantity,Unit_Price
Pontiac,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",bba1872d-fc2e-4fc1-928d-da39bae52aab,Grand Prix,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,7b3e3bea-f3f1-42c9-8010-87dd4c923270,59762-0030,755779564-4,9,37000
Lotus,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",b86e3540-27f5-4b78-9343-2dcdfdcf41d9,Evora,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",d3c1e57c-66cd-48ad-81b5-d767e4d2abde,69031-001,308489693-3,27,48000
Dodge,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",c062804f-85fa-46ff-b451-95cf12ae6a46,Ram,Nullam molestie nibh in lectus. Pellentesque at nulla.,4946e608-4084-41a6-a9fb-e0da26abad6d,50436-6744,301169034-0,16,54000
Acura,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",93798356-82aa-47df-b708-9627df76c7f5,TL,Fusce consequat. Nulla nisl.,d494d308-e6c1-470d-9603-62baa6354037,13537-220,884290547-X,89,97000
Lexus,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0a008595-f009-4617-aa7b-73c27e88adcc,LS,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,6fa0addb-a03e-49d0-aca2-ea6a46bd30c8,52389-306,161766511-8,73,59000
Porsche,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,61e4f826-86c8-443f-ae3e-b5b036bb2d9c,911,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1f2818c3-0fee-43bb-8954-1ebe92a0b135,0378-4003,245303092-2,45,48000
Audi,Proin risus. Praesent lectus.,ad4f663e-bb8c-46bb-a83f-1e93b541fffb,S8,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",840a0aec-62ea-4d10-be12-2e534ea5107a,68745-2008,087577027-4,67,46000
Mazda,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,694653a3-5dec-47cf-aa00-51b585a907cf,Mazda3,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,d13400ba-aa7a-4bd8-95ce-0dfff6ef5f84,64725-0545,669864501-X,19,48000
Volvo,Aenean lectus. Pellentesque eget nunc.,b949299b-b0c9-4d0f-a437-1b6bea7c783c,S40,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2de7a11d-6eaa-451f-8f17-48addb42f72e,50051-0019,204884770-6,39,69000
Pontiac,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,073e304e-18ee-4153-a1f9-b7ce1e2d23ee,Grand Prix,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",230c9eed-4af1-465c-9ee3-342524d2c81e,49348-305,932096019-4,71,15000
