AddressID,CityID,AddressLine1,AddressLine2,PostalCode
1,2640061,2297 Green Ridge Street,841 American Way,00000
2,2590812,1 Pond Road,3629 Algoma Parkway,00000
3,2543190,19 Maryland Lane,44 Redwing Park,00000
4,2573308,99 Acker Plaza,,00000
5,2667583,555 Summer Ridge Plaza,,08940-000
6,2536739,8771 Lawn Drive,0831 Anzinger Parkway,00000
7,2528547,62 Mayer Point,587 Lillian Trail,00000
8,2647509,18294 Bultman Place,1078 Knutson Center,00000
9,2549996,79389 John Wall Park,,57920-000
10,2557918,63749 Hagan Junction,28546 Boyd Trail,00000
11,2644680,40 Harper Street,715 Lindbergh Park,649143
12,2594373,68747 Hallows Park,,00000
13,2541983,95875 Blue Bill Park Hill,,13830-000
14,2546707,6107 Portage Way,,00000
15,2536979,804 Fairfield Pass,,2727
16,2576706,29 Quincy Park,,250618
17,2649921,7 Myrtle Hill,,88930
18,2617973,532 Claremont Drive,8 Buena Vista Road,171 64
19,2577598,5992 Meadow Ridge Crossing,583 Burning Wood Way,00000
20,2585144,38 Havey Lane,,00000
21,2621822,440 Sunbrook Place,873 Brentwood Street,00000
22,2635255,06265 Clove Alley,87 Glacier Hill Alley,00000
23,2529808,9 Carpenter Court,,6150-405
24,2601103,0 Grover Alley,75 Haas Terrace,20000-000
25,2558481,289 Morning Parkway,76 Clove Plaza,00000
26,2610602,8 Pierstorff Point,,3455
27,2542011,9119 Sachs Drive,,00000
28,2578043,440 Tennessee Drive,,34310
29,2544860,1601 Karstens Way,00 Holmberg Point,544529
30,2609913,7490 Northport Pass,05014 6th Lane,95180-000
31,2656610,192 Center Way,,00000
32,2575435,77052 Brentwood Crossing,,35150
33,2587728,3026 Rutledge Parkway,,00000
34,2604286,9261 Porter Court,,S7W
35,2534641,22 Glendale Drive,9165 Schurz Junction,2566
36,2581061,723 Welch Trail,48503 Mesta Drive,00000
37,2592100,2 Weeping Birch Park,,MD-7702
38,2587658,47928 Monterey Terrace,,MXK
39,2648530,87696 Garrison Center,,24130
40,2527960,87 Kensington Avenue,,00000
41,2641073,45 Bay Avenue,,00000
42,2573024,3 Boyd Park,,88906
43,2614275,0 Westridge Road,4 Sachs Terrace,822 30
44,2631232,551 Lien Park,319 Redwing Drive,00000
45,2566428,36672 Memorial Avenue,3 Ryan Parkway,00000
46,2667948,75719 Duke Court,0716 Londonderry Pass,00000
47,2607984,23851 Sunfield Plaza,,84200-000
48,2636227,629 Sycamore Center,,00000
49,2633903,3294 Victoria Point,27967 Tomscot Trail,00000
50,2585299,05140 Annamark Crossing,607 Longview Road,959-1287
51,2549804,3545 Jackson Drive,,165391
52,2640962,0 New Castle Point,3 Mosinee Court,00000
53,2617732,43583 Clove Pass,429 Golf Course Pass,00000
54,2544084,79088 Glendale Place,64 Kenwood Street,00000
55,2535679,1 Ludington Junction,2 Bayside Terrace,54522
56,2641687,05133 Melody Alley,,55555
57,2651872,171 Bonner Parkway,,00000
58,2586320,4907 Merrick Crossing,607 Monument Center,934-0099
59,2628089,1728 Marcy Road,50133 Luster Terrace,00000
60,2610217,73 Buhler Drive,,143020
61,2544994,53 Union Drive,75325 Mariners Cove Plaza,666137
62,2650908,63970 Hoepker Junction,,399-8205
63,2629484,7 Carberry Park,1201 Mayer Pass,00000
64,2660342,438 Moulton Drive,,89-412
65,2567513,5884 Delladonna Junction,574 David Way,169336
66,2552954,23637 Hermina Terrace,7 Summer Ridge Plaza,00000
67,2653772,732 Melrose Hill,576 Scott Circle,00000
68,2611184,00 Milwaukee Place,,20180
69,2552851,142 Logan Point,,14740-000
70,2538314,9704 Iowa Park,,00000
71,2613124,11360 Debs Park,778 Northwestern Place,00000
72,2625200,0123 Prairieview Terrace,52559 Thompson Parkway,23242
73,2650654,10729 Beilfuss Center,174 Bay Court,515-2605
74,2588066,6 Northport Way,9528 Londonderry Circle,00000
75,2600221,5375 Springs Street,276 Elgar Junction,44302
76,2661286,0342 Sutteridge Park,,555
77,2610335,27 Cody Avenue,,00000
78,2587783,541 Kensington Park,686 Pepper Wood Drive,00000
79,2555134,563 Schurz Plaza,44666 West Avenue,7505
80,2647311,6 Mcguire Place,2 Eggendart Pass,00000
81,2550821,68273 West Court,,251227
82,2599405,8671 Canary Street,65591 Springview Parkway,357247
83,2542259,33215 Mayfield Place,,2624
84,2556638,08 Loftsgordon Park,230 Eastwood Hill,00000
85,2639277,82586 Bashford Circle,95854 Green Ridge Drive,00000
86,2553238,61 Tennessee Road,,00000
87,2614347,90 Elka Court,58513 Barby Center,7004
88,2575712,2 Pierstorff Center,,00000
89,2624139,87 Delladonna Junction,,3255
90,2565452,33 Vahlen Junction,,00000
91,2632836,317 Carberry Junction,57 Lotheville Avenue,00000
92,2550684,5668 Ridgeway Plaza,,10600
93,2566161,89171 New Castle Lane,664 La Follette Alley,00000
94,2576798,188 Mesta Terrace,,00000
95,2623186,607 Main Center,343 Southridge Lane,543058
96,2576610,254 Erie Hill,8422 Myrtle Junction,00000
97,2576616,57 Bartelt Plaza,,87330
98,2574042,27551 Atwood Alley,,00000
99,2609459,1 Schurz Court,01 Butternut Way,4415-092
100,2658165,47 Holmberg Alley,78 Dexter Crossing,00000
101,2578039,8057 Northwestern Way,06034 Fulton Court,00000
102,2554562,6 Merrick Road,,48100
103,2571312,501 Eagle Crest Court,8 Mccormick Terrace,396931
104,2536560,5 Lerdahl Pass,9377 Charing Cross Lane,00000
105,2562878,1 8th Avenue,97 Golden Leaf Center,00000
106,2642914,961 Brickson Park Circle,006 Huxley Trail,4580-604
107,2556308,4143 Wayridge Lane,57 Boyd Lane,00000
108,2648972,8642 Prentice Place,89 Larry Terrace,2101
109,2579738,71975 Vahlen Junction,5 Harper Place,152850
110,2665508,971 Green Ridge Court,6107 Carpenter Court,768 02
111,2647688,437 Forest Lane,03193 Dovetail Center,13220-000
112,2624826,107 Starling Circle,63264 Rieder Pass,00000
113,2544767,80 Eagan Street,,00000
114,2543531,35167 Iowa Plaza,,00000
115,2575397,1 Lindbergh Center,,191023
116,2598851,34315 Montana Street,,13170
117,2647198,80929 Randy Place,,00000
118,2642693,6333 Quincy Crossing,1 Oakridge Way,301792
119,2611075,4 Claremont Place,6677 Montana Terrace,00000
120,2648466,4 Moland Place,,00000
121,2558694,106 Melby Center,4594 Dryden Center,00000
122,2551084,9618 Arkansas Crossing,,00000
123,2576361,2 Reindahl Plaza,554 Prairie Rose Center,425050
124,2615885,2144 Grasskamp Drive,2171 La Follette Trail,00000
125,2535963,4835 Carey Point,17 Forster Junction,00000
126,2572614,75769 Glendale Point,6 Northwestern Hill,00000
127,2575443,0 Ridge Oak Alley,774 Menomonie Junction,69260-000
128,2599274,13150 Cody Terrace,,2640-705
129,2648134,7 Memorial Terrace,611 Nova Crossing,00000
130,2647941,7 Spenser Place,,412545
131,2565901,0 Ruskin Plaza,5 Arrowood Drive,00000
132,2625684,19 Schurz Hill,,00000
133,2571431,03496 Forster Park,,2540-664
134,2647568,549 Coolidge Hill,,964-0944
135,2541084,3072 Huxley Parkway,,00000
136,2572646,1955 Barnett Park,,96760-000
137,2657373,8 Petterle Junction,,00000
138,2544972,5141 Dwight Way,,735
139,2571848,45863 Eliot Avenue,864 Scott Court,00000
140,2657170,219 Summit Park,6229 Arapahoe Road,3342
141,2634286,5 Towne Lane,20 Jenifer Road,00000
142,2574232,8291 Parkside Place,,00000
143,2655382,291 Southridge Avenue,,43270
144,2662188,2 Rusk Lane,38 Steensland Hill,682038
145,2649063,78644 High Crossing Alley,856 Truax Lane,1381
146,2572621,2473 Larry Terrace,,00000
147,2589660,37986 Katie Drive,,00000
148,2576706,6676 Muir Point,,6710
149,2608896,3040 Hintze Alley,47312 Dahle Drive,CV35
150,2549161,5 Knutson Drive,428 Judy Way,00000
151,2665569,89914 Scoville Street,49 Lindbergh Court,00000
152,2634817,998 Ridgeview Drive,5 6th Lane,95650-000
153,2561515,8917 Ilene Road,,00000
154,2581213,18053 Fairview Place,5 Orin Point,267 63
155,2645875,0 Milwaukee Street,382 Thierer Junction,6401
156,2545287,18 Ohio Place,725 Fuller Trail,31407
157,2543753,2270 Eliot Avenue,3610 Pond Avenue,175260
158,2644918,6 Crownhardt Way,98415 Springview Court,00000
159,2602962,75573 Namekagon Way,,00000
160,2650266,7253 Montana Center,8 Maple Alley,00000
161,2631134,225 Raven Road,,431355
162,2555786,1108 Harper Court,4 Granby Way,00000
163,2622069,26537 Rigney Hill,,00000
164,2654693,53 Northland Trail,3 Fairview Trail,00000
165,2602041,9600 Tony Crossing,766 Emmet Place,00000
166,2627801,05441 Paget Terrace,42405 Mallard Plaza,21-007
167,2528675,1514 Hermina Center,,333 24
168,2536445,55 Superior Point,,590342
169,2636094,8336 Mesta Trail,886 Buhler Street, 5555
170,2668075,7 Maryland Avenue,,742 91
171,2595741,19783 Esker Avenue,,6227
172,2646847,57473 Dorton Drive,,190990
173,2616205,54523 Waubesa Road,,36-046
174,2622436,6 Bay Way,99 Pearson Avenue,00000
175,2622964,14 6th Junction,,89620-000
176,2638612,59707 Packers Street,,00000
177,2596038,7 Browning Terrace,,00000
178,2533877,6769 Coleman Trail,,3515
179,2534197,54443 Oak Valley Terrace,0158 Cottonwood Circle,17280-000
180,2572439,7119 Welch Junction,9335 Vernon Place,00000
181,2533170,1 Warner Court,,6004
182,2621599,3 Paget Park,,00000
183,2665445,4 Ridge Oak Street,,00000
184,2615095,4030 Kim Way,,99000-000
185,2527588,82 Loftsgordon Way,2999 Schurz Terrace,00000
186,2578396,8233 Eastlawn Lane,,00000
187,2593766,42 Texas Avenue,2 Karstens Plaza,8608
188,2655016,63038 Elgar Alley,59 Kennedy Place,00000
189,2632907,5 Lake View Circle,953 Manley Circle,2971
190,2629909,641 Roth Street,93 Pennsylvania Drive,452974
191,2526316,2353 Hudson Crossing,6637 Homewood Park,00000
192,2653190,70058 Coolidge Hill,3 Reindahl Circle,51130
193,2595363,6 Pleasure Court,095 Forster Way,00000
194,2549009,40762 Crest Line Point,,88-405
195,2608530,98 Fulton Junction,7814 Bartelt Drive,15604
196,2551053,2191 Old Gate Road,324 Grim Place,366041
197,2602713,978 Warrior Parkway,641 Banding Hill,678290
198,2668021,6 Memorial Way,,03-840
199,2559408,08383 Caliangt Street,,00000
200,2588562,6 Darwin Avenue,930 Sutteridge Pass,00000
201,2566381,60256 Annamark Road,,00000
202,2603976,645 Gina Drive,,00000
203,2610156,86 Lerdahl Trail,10436 Kensington Drive,434 38
204,2570839,3336 Erie Crossing,,00000
205,2529096,1185 Esker Alley,,63-720
206,2656193,29032 Ramsey Plaza,,50674
207,2534659,952 Kedzie Road,,00000
208,2549519,8 Hauk Junction,,00000
209,2562908,35547 Morning Pass,964 Lake View Parkway,00000
210,2547042,11199 Charing Cross Alley,9873 Granby Way,9224
211,2589019,868 Susan Road,,00000
212,2636900,92 Grayhawk Junction,,00000
213,2609934,65352 Hagan Place,,00000
214,2608056,3012 Anderson Junction,,4485-367
215,2600387,6 Ilene Point,,00000
216,2580815,6 Forest Dale Drive,,00000
217,2620463,866 Magdeline Pass,,533 50
218,2574871,6 Shasta Plaza,0 Oak Valley Crossing,00000
219,2575331,76868 Springs Road,05 Thompson Lane,00000
220,2546857,26766 Buell Court,39 Jackson Avenue,5249
221,2542281,405 Lukken Way,4 Sauthoff Drive,00000
