OrderID,ProductID,UnitPrice,Quantity,Discount
1,198,54464.87,62,4
2,115,77883.88,39,
3,138,69565.78,15,5
4,38,94734.42,98,3
5,73,23269.39,46,
6,2,84916.86,30,
7,112,42255.50,11,
8,133,11395.59,1,4
9,92,21628.85,20,5
10,189,14157.20,23,
11,23,88022.64,89,
12,192,12656.40,18,3
13,45,11764.76,53,
14,128,77103.23,17,4
15,101,95519.63,7,
16,189,11727.94,22,
17,67,80238.68,34,
18,122,24351.73,59,5
19,74,84975.32,69,2
20,184,77354.28,47,
21,12,92307.92,5,
22,96,86632.54,99,2
23,69,36191.05,21,
24,162,32364.02,18,
25,116,49400.74,47,
26,191,54977.57,68,3
27,150,68614.12,75,2
28,27,89656.53,75,2
29,19,66160.80,66,5
30,8,10116.94,37,
31,113,55277.31,83,
32,37,98943.21,55,
33,81,80243.96,87,
34,22,81509.89,42,5
35,183,85571.00,87,2
36,181,31601.24,26,
37,82,56080.87,79,
38,87,93117.13,9,2
39,194,27866.35,61,
40,88,26541.17,93,
41,87,43394.45,71,
42,143,27925.37,70,5
43,104,54155.39,48,
44,60,51807.21,90,
45,112,98471.37,51,3
46,51,60201.08,37,4
47,129,81098.01,37,
48,180,27433.90,95,
49,65,76521.70,84,
50,71,68989.93,60,5
51,94,48437.41,4,
52,184,89362.77,93,
53,84,17260.53,88,
54,123,60733.77,17,
55,98,18745.70,94,4
56,197,57130.62,71,
57,105,95775.31,65,5
58,149,15916.05,77,2
59,86,11417.95,98,
60,127,95888.89,3,5
61,27,42406.18,83,5
62,168,27569.21,56,
63,37,94798.98,34,5
64,38,58828.32,89,4
65,17,57313.55,16,4
66,198,26028.41,4,
67,124,53570.01,90,3
68,176,36868.07,6,
69,122,47290.32,92,
70,156,29589.69,85,2
71,185,29702.63,50,
72,137,75317.86,17,
73,181,58252.13,26,
74,19,12316.35,47,4
75,11,35262.89,11,
76,181,21573.44,23,5
77,77,40273.13,19,
78,135,87960.32,28,2
79,77,96035.03,86,
80,190,33837.81,24,5
81,14,62774.17,49,5
82,31,11437.39,72,
83,124,55294.25,90,
84,80,37068.50,46,
85,107,74605.80,90,
86,104,44875.74,89,5
87,177,58730.05,38,2
88,101,98045.52,60,4
89,177,38428.34,98,2
90,32,51312.64,57,
91,30,26905.94,31,
92,153,34603.78,7,
93,37,65735.50,30,
94,92,46251.16,89,
95,21,25929.44,12,
96,83,42065.00,43,
97,59,68769.16,12,2
98,40,55021.03,73,
99,105,38238.57,85,2
100,108,87806.54,56,
101,114,61673.29,95,2
102,191,66704.75,41,
103,27,23463.08,77,
104,121,35291.33,26,4
105,126,42893.63,17,2
106,23,82891.88,51,2
107,176,97805.11,66,2
108,71,74669.70,85,2
109,129,12418.72,30,
110,96,32044.04,5,2
111,5,70439.66,65,
112,139,19668.86,12,5
113,105,81028.90,44,
114,98,22837.71,65,
115,17,67693.91,67,
116,147,93434.67,53,
117,163,63060.95,1,5
118,133,38568.33,33,2
119,122,93918.77,33,2
120,107,95570.98,49,2
121,72,76917.66,55,
122,20,72792.44,75,4
123,186,47573.91,25,4
124,39,74182.06,31,2
125,172,43621.65,51,5
126,194,64716.49,6,
127,160,13128.85,48,
128,44,35219.00,59,
129,142,35451.40,21,2
130,96,89951.48,17,4
131,187,99586.93,40,5
132,167,62031.80,57,
133,62,77636.11,5,
134,139,10224.81,4,
135,152,28282.73,86,
136,165,84324.15,29,
137,133,68203.99,15,
138,79,25613.47,66,2
139,96,13964.06,57,2
140,143,75969.02,86,
141,97,33883.15,100,
142,74,80620.35,98,
143,154,85100.56,82,
144,161,38294.58,61,2
145,93,85415.28,8,2
146,182,27610.72,16,2
147,126,25701.14,64,4
148,12,61510.27,38,5
149,157,81112.60,35,
150,65,67073.95,73,2
151,200,75427.72,59,
152,28,19670.37,73,5
153,117,88293.18,65,
154,35,62763.45,9,
155,110,34210.99,23,
156,105,21365.41,37,
157,33,94647.97,54,4
158,182,38248.67,59,2
159,191,92697.05,31,2
160,121,27233.52,5,
161,101,35999.43,37,5
162,88,30893.90,57,2
163,98,47665.67,7,
164,45,67636.27,100,4
165,56,33987.36,48,
166,118,51866.76,22,5
167,137,72122.31,12,
168,121,72549.67,37,
169,143,98138.73,30,2
170,67,83819.42,11,2
171,67,34556.24,42,
172,182,72499.47,77,
173,133,86920.88,8,
174,162,24512.76,48,
175,182,13050.85,58,3
176,37,30086.88,84,5
177,186,27677.24,95,
178,15,30677.07,27,5
179,30,72823.97,8,2
180,111,63435.49,41,
181,133,60483.05,61,2
182,74,83461.34,38,
183,2,53277.57,92,4
184,39,76457.85,95,
185,77,80751.72,6,
186,35,77532.20,54,2
187,20,71679.17,29,5
188,97,95392.02,78,2
189,53,41488.79,35,3
190,80,15228.46,8,
191,86,49570.29,91,2
192,67,96425.02,34,2
193,191,63726.84,38,
194,1,33063.70,56,
195,190,91025.98,75,2
196,16,18622.56,24,2
197,91,40096.71,52,2
198,27,76529.44,84,2
199,162,82187.33,6,5
200,31,68962.55,35,
201,78,16373.35,28,
202,155,28827.92,82,
203,109,41320.33,83,5
204,188,98927.88,15,4
205,91,14290.97,84,5
206,195,22089.97,76,
207,78,15832.68,29,
208,179,18502.94,13,2
209,110,99731.61,26,
210,116,92250.16,33,
211,117,62248.78,42,
212,195,38775.92,61,5
213,112,34472.26,53,
214,61,80092.21,79,5
215,7,82460.97,33,
216,153,21045.11,97,2
217,131,32877.48,32,
218,88,67046.02,71,
219,94,76156.65,4,
220,47,61811.55,21,
221,161,15119.19,15,3
222,153,65494.78,11,5
223,125,31585.00,40,3
224,169,21679.39,32,
225,29,29154.59,77,
226,16,74301.33,43,2
227,42,57082.44,84,
228,193,59728.75,45,
229,199,72574.34,24,2
230,123,67879.05,71,2
231,31,93241.43,42,2
232,150,32884.97,15,2
233,38,84671.34,98,2
234,183,83085.48,9,5
235,122,95672.74,100,
236,127,13503.52,50,
237,8,10606.00,69,3
238,73,79100.37,11,
239,121,28254.15,14,4
240,160,38077.47,91,2
241,113,88443.02,13,2
242,139,20885.03,11,2
243,99,27074.14,89,2
244,173,58404.54,11,2
245,163,73158.96,20,
246,97,43042.01,3,
247,186,90065.75,94,2
248,194,96190.90,90,4
249,23,46757.65,73,4
250,151,61352.69,97,4
251,106,61133.91,33,
252,169,73955.59,74,2
253,68,81732.89,77,
254,188,20125.09,5,
255,5,58321.31,53,
256,19,77788.60,88,
257,135,43001.13,71,
258,153,30822.33,6,5
259,117,94726.45,62,2
260,158,97330.67,42,2
261,62,28159.19,80,
262,9,92433.43,100,3
263,49,66198.44,20,5
264,155,25812.91,52,2
265,197,43730.43,39,2
266,42,62579.56,69,5
267,176,19601.65,49,
268,85,16941.96,62,3
269,38,77580.25,13,
270,86,43346.71,98,2
271,73,86693.59,5,
272,188,98154.42,23,
273,150,61059.83,100,
274,153,26454.52,2,
275,57,43749.89,1,5
276,169,68857.85,73,5
277,136,66967.59,42,
278,174,88389.18,45,
279,95,40986.99,48,
280,185,38724.83,3,3
281,98,96368.03,35,
282,16,38793.82,85,5
283,102,26648.58,49,2
284,107,18008.72,16,5
285,133,51104.17,22,
286,158,37568.19,48,2
287,79,76878.10,92,4
288,112,72802.64,96,
289,177,15106.54,37,3
290,20,38024.98,85,
291,184,53542.73,14,5
292,90,39756.22,73,
293,134,77804.86,52,
294,104,29935.95,23,5
295,200,75076.91,39,2
296,42,41045.66,82,3
297,131,64343.58,43,
298,119,13184.06,100,3
299,162,87354.87,15,
300,110,82129.11,49,2
1,59,72583.18,99,5
2,148,73111.76,62,
3,92,33133.06,75,2
4,41,48865.61,6,
5,37,36970.60,17,4
6,53,11727.99,74,
7,156,89713.52,82,
8,150,50301.13,22,
9,182,11083.00,67,2
10,95,87520.15,80,2
11,20,13764.69,75,5
12,43,81611.93,15,2
13,178,41139.50,95,
14,128,33319.12,21,
15,200,56033.44,89,2
16,9,84018.75,66,2
17,27,13637.47,39,5
18,62,71422.83,59,4
19,13,55326.97,88,3
20,124,52759.64,50,2
21,28,74684.76,66,2
22,171,29777.66,95,5
23,188,81815.95,89,2
24,126,60175.04,92,2
25,185,79744.10,66,
26,84,50171.12,79,
27,180,40157.68,11,2
28,145,50046.60,31,5
29,116,35484.10,58,5
30,101,28946.22,14,2
31,63,17807.99,52,
32,132,16408.54,7,3
