EmployeeID,ManagerID,RoleTitle,HireDate,IsActive
1,11,SalesManager,2020-11-20,1
2,,SalesManager,2020-08-24,1
3,11,SalesManager,2020-05-02,1
4,,SalesManager,2020-04-30,1
5,,SalesManager,2020-10-15,1
6,,SalesManager,2020-04-30,1
7,,SalesManager,2020-10-23,1
8,,SalesManager,2020-10-26,1
9,11,SalesManager,2020-03-24,1
10,,SalesManager,2020-02-22,1
11,,SalesManager,2019-01-01,1
12,,SalesManager,2020-01-01,1
13,,SalesManager,2020-01-31,1
14,11,SalesManager,2020-06-12,1
15,,SalesManager,2020-11-15,1
16,,SalesManager,2020-11-13,1
17,,SalesManager,2020-05-10,1
18,11,SalesManager,2020-05-01,1
19,,SalesManager,2020-06-22,1
20,,SalesManager,2020-05-23,1
21,,SalesManager,2019-01-01,0
22,,SalesManager,2019-01-01,0
23,,SalesManager,2019-01-01,0
