VersionTypeID,VersionTypeName,EntityID,Description
1,Product price version,1,Hystorical - Version of product price. EntityID refers to ProductID. orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
2,Product price version,2,Hystorical - Version of product price. EntityID refers to ProductID. consequat nulla nisl nunc nisl duis bibendum felis sed interdum
3,Product price version,3,Hystorical - Version of product price. EntityID refers to ProductID. aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
4,Product price version,4,Hystorical - Version of product price. EntityID refers to ProductID. porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
5,Product price version,5,Hystorical - Version of product price. EntityID refers to ProductID. blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
6,Product price version,6,Hystorical - Version of product price. EntityID refers to ProductID. primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
7,Product price version,7,Hystorical - Version of product price. EntityID refers to ProductID. luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
8,Product price version,8,Hystorical - Version of product price. EntityID refers to ProductID. varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
9,Product price version,9,Hystorical - Version of product price. EntityID refers to ProductID. posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
10,Product price version,10,Hystorical - Version of product price. EntityID refers to ProductID. cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
11,Product price version,11,Hystorical - Version of product price. EntityID refers to ProductID. amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
12,Product price version,12,Hystorical - Version of product price. EntityID refers to ProductID. odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
13,Product price version,13,Hystorical - Version of product price. EntityID refers to ProductID. lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
14,Product price version,14,Hystorical - Version of product price. EntityID refers to ProductID. ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem
15,Product price version,15,Hystorical - Version of product price. EntityID refers to ProductID. ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
16,Product price version,16,Hystorical - Version of product price. EntityID refers to ProductID. nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
17,Product price version,17,Hystorical - Version of product price. EntityID refers to ProductID. ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
18,Product price version,18,Hystorical - Version of product price. EntityID refers to ProductID. vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
19,Product price version,19,Hystorical - Version of product price. EntityID refers to ProductID. nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
20,Product price version,20,Hystorical - Version of product price. EntityID refers to ProductID. et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
21,Product price version,21,Hystorical - Version of product price. EntityID refers to ProductID. a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
22,Product price version,22,Hystorical - Version of product price. EntityID refers to ProductID. metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
23,Product price version,23,Hystorical - Version of product price. EntityID refers to ProductID. ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
24,Product price version,24,Hystorical - Version of product price. EntityID refers to ProductID. magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
25,Product price version,25,Hystorical - Version of product price. EntityID refers to ProductID. pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
26,Product price version,26,Hystorical - Version of product price. EntityID refers to ProductID. nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
27,Product price version,27,Hystorical - Version of product price. EntityID refers to ProductID. elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
28,Product price version,28,Hystorical - Version of product price. EntityID refers to ProductID. morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
