OrderID,ProductID,UnitPrice,Quantity,Discount
1,41,73040,25,1.5
2,42,79040,25,0.5
3,43,45040,10,0.5
4,44,59040,20,1.5
5,45,89040,15,2
6,46,43040,25,1.5
7,47,60040,15,1
8,48,20040,5,2.5
9,49,49040,15,1.5
10,50,79040,20,1.5
11,51,76040,15,2
12,52,21040,25,1
13,53,24040,25,0.5
14,54,59040,10,1
15,55,51040,5,0.5
16,56,11040,25,1
17,57,76040,25,2
18,58,54040,5,1.5
19,59,25040,25,1
20,60,45040,15,1.5
21,61,63040,20,2.5
22,62,58040,10,0.5
23,63,32040,25,1
24,64,21040,15,1.5
25,65,76040,10,1
26,66,76040,10,1.5
27,67,43040,25,2.5
28,68,40040,10,1
29,69,69040,10,2.5
30,70,33040,5,2
31,71,39040,25,2.5
32,72,50040,20,2
33,73,80040,10,2
34,74,60040,20,2.5
35,75,27040,10,1.5
36,76,22040,15,0.5
37,77,52040,15,1
38,78,73040,20,1
39,79,90040,25,2.5
40,80,52040,20,1
41,81,95040,25,2.5
42,82,66040,15,1
43,83,94040,15,1.5
44,84,66040,20,1
45,85,87040,20,2.5
46,86,41040,5,2.5
47,87,59040,25,1
48,88,84040,15,2
49,89,48040,20,2.5
50,90,91040,25,2.5
51,91,71040,10,2
52,92,82040,20,2
53,93,48040,5,2
54,94,97040,25,2
55,95,78040,10,1
56,96,44040,15,2.5
57,97,67040,20,2
58,98,54040,10,2
59,99,99040,5,2.5
60,100,46040,15,2
61,101,79040,5,0.5
62,102,71040,20,0.5
63,103,70040,10,2.5
64,104,69040,25,0.5
65,105,95040,10,1.5
66,106,39040,25,2
67,107,84040,20,1.5
68,108,53040,10,2.5
69,109,93040,10,2
70,110,38040,20,2
71,111,86040,25,2.5
72,112,89040,5,2.5
73,113,97040,5,0.5
74,114,24040,20,2
75,115,88040,15,1
76,116,11040,15,1
77,117,73040,20,2
78,118,93040,10,0.5
79,119,68040,5,2.5
80,120,97040,5,2.5
81,121,64040,25,2.5
82,122,60040,25,2
83,123,22040,20,0.5
84,124,91040,15,2
85,125,38040,5,0.5
86,126,44040,10,2
87,127,71040,20,1
88,128,62040,25,0.5
89,129,62040,25,2.5
90,130,83040,25,1
91,131,29040,5,0.5
92,132,76040,15,2
93,133,64040,10,0.5
94,134,27040,20,1
95,135,60040,10,1
96,136,96040,25,2.5
97,137,62040,15,2.5
98,138,33040,10,2.5
99,139,40040,15,1.5
100,140,80040,5,2.5
101,41,73040,10,0.5
102,42,79040,10,2
103,43,45040,15,2.5
104,44,59040,20,1.5
105,45,89040,25,1.5
106,46,43040,25,2.5
107,47,60040,5,1
108,48,20040,20,2.5
109,49,49040,20,1.5
110,50,79040,15,1.5
111,51,76040,5,1.5
112,52,21040,15,0.5
113,53,24040,15,2
114,54,59040,10,1.5
115,55,51040,25,2.5
116,56,11040,15,0.5
117,57,76040,25,2.5
118,58,54040,25,2
119,59,25040,10,0.5
120,60,45040,25,2
121,61,63040,20,1.5
122,62,58040,5,1.5
123,63,32040,25,2.5
124,64,21040,20,2
125,65,76040,25,0.5
126,66,76040,25,1.5
127,67,43040,25,0.5
128,68,40040,10,1.5
129,69,69040,5,2.5
130,70,33040,5,2
131,71,39040,25,2.5
132,72,50040,15,1.5
133,73,80040,15,1
134,74,60040,20,2.5
135,75,27040,25,1
136,76,22040,20,1
137,77,52040,10,2.5
138,78,73040,20,1
139,79,90040,20,1.5
140,80,52040,10,2.5
141,81,95040,10,0.5
142,82,66040,25,0.5
143,83,94040,20,0.5
144,84,66040,15,2.5
145,85,87040,15,1.5
146,86,41040,15,0.5
147,87,59040,15,1.5
148,88,84040,10,1.5
149,89,48040,20,2.5
150,90,91040,5,1.5
