OrderID,ProductID,UnitPrice,Quantity,Discount
1,31,72965,25,2
2,32,78965,5,2.5
3,33,44965,5,1.5
4,34,58965,10,1
5,35,88965,5,0.5
6,36,42965,25,1
7,37,59965,20,0.5
8,38,19965,15,0.5
9,39,48965,15,1
10,40,78965,25,2.5
11,41,75965,10,2
12,42,20965,25,0.5
13,43,23965,15,1.5
14,44,58965,15,2
15,45,50965,10,1.5
16,46,10965,20,2.5
17,47,75965,20,2
18,48,53965,20,1
19,49,24965,5,2
20,50,44965,25,2.5
21,51,62965,10,2.5
22,52,57965,5,2.5
23,53,31965,10,1
24,54,20965,20,2.5
25,55,75965,5,1
26,56,75965,15,1
27,57,42965,15,1
28,58,39965,5,2.5
29,59,68965,5,2
30,60,32965,15,0.5
31,61,38965,15,2
32,62,49965,25,2
33,63,79965,15,1.5
34,64,59965,20,1
35,65,26965,20,1.5
36,66,21965,15,0.5
37,67,51965,5,0.5
38,68,72965,15,2.5
39,69,89965,20,1
40,70,51965,10,2
41,71,94965,10,0.5
42,72,65965,25,1.5
43,73,93965,5,1
44,74,65965,20,1
45,75,86965,25,0.5
46,76,40965,20,2
47,77,58965,5,0.5
48,78,83965,5,0.5
49,79,47965,5,2.5
50,80,90965,5,1.5
51,81,70965,15,0.5
52,82,81965,5,1
53,83,47965,15,2
54,84,96965,5,1
55,85,77965,10,0.5
56,86,43965,10,0.5
57,87,66965,10,1.5
58,88,53965,10,2
59,89,98965,15,2.5
60,90,45965,5,2
61,91,78965,10,1.5
62,92,70965,15,1.5
63,93,69965,5,1.5
64,94,68965,15,2.5
65,95,94965,20,1
66,96,38965,20,2
67,97,83965,5,2.5
68,98,52965,10,1.5
69,99,92965,25,1.5
70,35,37965,5,0.5
71,36,85965,20,0.5
72,37,88965,25,2
73,38,96965,20,2
74,39,23965,15,1.5
75,40,87965,15,1.5
76,41,10965,10,0.5
77,42,72965,20,1.5
78,43,92965,25,0.5
79,44,67965,20,1
80,45,96965,5,1.5
81,46,63965,15,2
82,47,59965,20,1.5
83,48,21965,25,2
84,49,90965,15,2.5
85,50,37965,15,1
86,51,43965,25,2.5
87,52,70965,15,0.5
88,53,61965,5,2.5
89,54,61965,10,1.5
90,55,82965,20,1
91,56,28965,15,2.5
92,57,75965,5,1
93,58,63965,10,0.5
94,59,26965,25,1
95,60,59965,10,1.5
96,61,95965,15,2
97,62,61965,20,1.5
98,63,32965,15,1.5
99,64,39965,10,1
100,65,79965,20,0.5
101,31,72965,5,1
102,32,78965,25,1.5
103,33,44965,15,0.5
104,34,58965,5,0.5
105,35,88965,25,1.5
106,36,42965,25,1.5
107,37,59965,25,2
108,38,19965,15,0.5
109,39,48965,15,1.5
110,40,78965,5,1
111,41,75965,5,1.5
112,42,20965,25,2
113,43,23965,20,1.5
114,44,58965,15,1
115,45,50965,10,2.5
116,46,10965,20,2.5
117,47,75965,20,2
118,48,53965,5,0.5
119,49,24965,5,1
120,50,44965,5,1
121,51,62965,15,2
122,52,57965,20,2
123,53,31965,25,1
124,54,20965,10,1.5
125,55,75965,15,0.5
126,56,75965,20,2
127,57,42965,5,2.5
128,58,39965,5,0.5
129,59,68965,20,1
130,60,32965,20,0.5
131,61,38965,5,1.5
132,62,49965,10,1.5
133,63,79965,25,2
134,64,59965,15,1
135,65,26965,5,1
136,66,21965,15,1.5
137,67,51965,20,2.5
138,68,72965,20,1
139,69,89965,15,1
140,70,51965,25,2
141,71,94965,10,1.5
142,72,65965,5,1.5
143,73,93965,20,1.5
144,74,65965,5,0.5
145,75,86965,25,0.5
146,76,40965,20,0.5
147,77,58965,5,2.5
148,78,83965,15,2
149,79,47965,20,1.5
150,80,90965,20,2
151,81,70965,25,2.5
152,82,81965,5,2
153,83,47965,5,2
154,84,96965,25,1
155,85,77965,25,1
156,86,43965,25,1
157,87,66965,20,2
158,88,53965,25,2
159,89,98965,10,1.5
160,90,45965,25,2
161,91,78965,5,1.5
162,92,70965,5,2
163,93,69965,15,2
164,94,68965,20,0.5
165,95,94965,10,0.5
166,96,38965,20,1
167,97,83965,10,0.5
168,98,52965,20,2.5
169,99,92965,20,2.5
170,35,37965,15,1
171,36,85965,5,1
172,37,88965,20,1
173,38,96965,5,1.5
174,39,23965,10,2.5
175,40,87965,25,0.5
176,41,10965,5,1
177,42,72965,10,1.5
178,43,92965,25,0.5
179,44,67965,25,2
180,45,96965,5,0.5
181,46,63965,15,1.5
182,47,59965,5,1.5
183,48,21965,5,2
184,49,90965,20,1.5
185,50,37965,10,2
186,51,43965,20,2.5
187,52,70965,10,1
188,53,61965,10,1
189,54,61965,25,2
190,55,82965,20,2
191,56,28965,15,0.5
192,57,75965,25,1
193,58,63965,15,0.5
194,59,26965,5,2.5
195,60,59965,5,2.5
196,61,95965,25,0.5
197,62,61965,20,1
198,63,32965,10,1.5
199,64,39965,10,1
200,65,79965,20,2
201,31,72965,15,2.5
202,32,78965,20,1.5
203,33,44965,10,0.5
204,34,58965,20,2.5
205,35,88965,20,1.5
206,36,42965,10,1.5
207,37,59965,15,1
208,38,19965,10,1
209,39,48965,15,1
210,40,78965,15,1.5
211,41,75965,10,1.5
212,42,20965,10,2
213,43,23965,5,2.5
214,44,58965,25,0.5
215,45,50965,25,1
216,46,10965,15,1
217,47,75965,5,0.5
218,48,53965,5,0.5
219,49,24965,10,0.5
220,50,44965,25,2
221,51,62965,25,2
222,52,57965,5,1.5
223,53,31965,15,1
224,54,20965,5,0.5
225,55,75965,25,2
226,56,75965,10,1
227,57,42965,20,2
228,58,39965,25,0.5
229,59,68965,15,1.5
230,60,32965,10,1
231,61,38965,10,2
232,62,49965,15,2.5
233,63,79965,5,2.5
234,64,59965,25,1
235,65,26965,5,2
236,66,21965,15,2.5
237,67,51965,5,1.5
238,68,72965,15,1
239,69,89965,10,1.5
240,70,51965,10,0.5
241,71,94965,10,1.5
242,72,65965,15,1.5
243,73,93965,25,2.5
244,74,65965,25,0.5
245,75,86965,15,1.5
246,76,40965,25,1
247,77,58965,10,2
248,78,83965,10,1
249,79,47965,20,2.5
250,80,90965,10,1
251,81,70965,25,1
252,82,81965,5,0.5
253,83,47965,10,1.5
254,84,96965,5,2
255,85,77965,10,0.5
256,86,43965,25,2.5
257,87,66965,10,2.5
258,88,53965,10,1.5
259,89,98965,5,0.5
260,90,45965,15,2
261,91,78965,25,1
262,92,70965,20,2
263,93,69965,20,1
264,94,68965,15,2.5
265,95,94965,25,2
266,96,38965,20,0.5
267,97,83965,15,0.5
268,98,52965,15,2.5
269,99,92965,20,1.5
270,35,37965,5,1.5
271,36,85965,5,2
272,37,88965,20,1.5
273,38,96965,25,1.5
274,39,23965,5,2
275,40,87965,20,0.5
276,41,10965,25,1
277,42,72965,5,2.5
278,43,92965,10,0.5
279,44,67965,20,1.5
280,45,96965,15,2.5
281,46,63965,20,2.5
282,47,59965,10,1.5
283,48,21965,15,2.5
284,49,90965,25,1.5
285,50,37965,5,1
286,51,43965,5,1.5
287,52,70965,5,2
288,53,61965,15,0.5
289,54,61965,10,2.5
290,55,82965,20,1.5
291,56,28965,5,0.5
292,57,75965,5,1.5
293,58,63965,5,2.5
294,59,26965,25,1.5
295,60,59965,20,0.5
296,61,95965,20,1.5
297,62,61965,25,2.5
298,63,32965,25,0.5
299,64,39965,15,2
300,65,79965,20,2
