Make_id,Make_name,Make_Desc,Make_guid,Product_Make_id,Product_Model_id,Product_Model_Name,Model_Desc,Model_guid,Model_Specifications_1,Model_Specifications_2,Quantity,Unit_Price
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,99,5 Series,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",5f09e7b9-df9c-47a8-b70d-6c90cb420a63,62011-0014,849036387-0,31,40000
8,Dodge,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",da9456b4-184a-4e0b-a2c3-6734bfdfb25c,8,98,CTS-V,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",890e7565-4017-4cb9-9f11-0323096debfb,49972-003,625133715-X,19,33000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,97,Sequoia,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",b6c044af-c9a4-4a01-b2b2-762a4912c042,0615-3568,068369419-7,88,62000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,95,750,Pellentesque at nulla. Suspendisse potenti.,530f4291-29c9-4ccc-af88-323090ca7382,58232-0801,680423683-1,61,60000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,94,Oasis,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",097a2634-85d7-45b4-a87a-38ee7421cef8,24794-220,271389608-8,80,35000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,93,Equinox,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",557d5d32-0b62-4e50-914c-1b9cf88016c1,54569-5167,415502642-2,69,65000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,93,Equinox,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",557d5d32-0b62-4e50-914c-1b9cf88016c1,58593-781,082146836-7,61,65000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,93,Equinox,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",557d5d32-0b62-4e50-914c-1b9cf88016c1,0143-9782,617845439-2,64,65000
10,Cadillac,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",d23f8317-8a88-4d19-9921-369871b0bb1f,10,90,A8,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",ccfa3fe1-e146-460e-be4c-9419812e2955,0641-6035,035641533-3,55,83000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,87,S4,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,0c99a1af-db35-4db0-a883-5db69a2bf20a,68113-520,257438379-6,9,71000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,87,S4,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,0c99a1af-db35-4db0-a883-5db69a2bf20a,21695-879,408400059-0,46,71000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,83,Explorer,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",fe25626e-4cba-4a6a-942a-8e390796aa71,49884-838,983161909-9,78,22000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",e704f1ef-6eb9-4163-b00c-57604234600b,2,82,CTS-V,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",afd670ad-5c8e-432b-8a3a-121680f5edea,42794-018,829983968-8,24,60000
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1d14b99c-106a-4686-9533-233e5c00b3ec,1,81,ES,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,5834d677-97b4-45a0-932a-38930c6677c2,54868-4350,860077880-8,99,64000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,79,GT500,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,68c168ed-c0ad-454f-b5f9-52a13a0553d5,59762-5027,076799508-2,71,68000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,79,GT500,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,68c168ed-c0ad-454f-b5f9-52a13a0553d5,0054-8604,969920327-7,55,68000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,75,Tribeca,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",475f96db-ec0d-4040-9f4b-4c4de16a8799,56062-409,627449954-7,49,88000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,75,Tribeca,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",475f96db-ec0d-4040-9f4b-4c4de16a8799,65044-1297,322490550-6,99,88000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,75,Tribeca,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",475f96db-ec0d-4040-9f4b-4c4de16a8799,65841-050,886677142-2,79,88000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,75,Tribeca,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",475f96db-ec0d-4040-9f4b-4c4de16a8799,52553-002,721527158-7,12,88000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,74,Edge,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,14244313-54fe-46b9-85aa-a9366b53523d,48951-5002,899407383-3,48,24000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,69,6000,Suspendisse accumsan tortor quis turpis. Sed ante.,dee8ea44-79ff-4c0d-a66b-7e64ca47a6d2,35356-603,844589941-4,88,93000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",cbe922b7-7627-4531-884c-7b219fc8db0c,6,66,Discovery,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",6a9dd8d4-77cf-43f6-af24-60a2ff239772,48878-0231,034905605-6,47,39000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,64,F-Series,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,42c8d667-db6b-4472-96c0-414879a3ffec,36987-2382,710724152-4,27,69000
