Make_name,Model_Name,Make_guid,Model_guid
Lincoln,S-Class,caaa8835-39a1-4cce-b934-b9e3c3d76b62,94826c83-23d8-41ec-bcd6-a3f515008b63
Ford,Mustang,ff652976-f85c-465f-80f5-bdee65d64b61,941879ac-49c3-4ef4-8829-c97f3575ac0a
Audi,Civic,724864fc-e433-4f1e-a7d5-d150e3fb1802,7e4138aa-f01d-4642-a910-922dc1fd02a6
Volkswagen,Town Car,068259b7-d764-46f4-b55d-e01f17041db7,87c2f381-07e2-4da8-9d56-6d70b20a252c
Chevrolet,MDX,b9c2e896-0bbd-4d9a-a818-893eabebfb5e,edf7e5b0-ef05-41f0-ab9c-55ea043b2788
Maserati,Colorado,d777d57f-cc9d-4595-af2e-3dd6da7dab80,facad92a-e16f-4114-91bc-4ac62a457c96
BMW,1500,407fa919-5bdc-4bf7-89cd-6c4fc6ab7829,921a9c74-b75c-4abe-b61b-66e02888a1e8
Dodge,612 Scaglietti,af63141c-75f8-4e3a-bbaf-46c0145ffea3,006e3628-cada-4861-b09d-ee2d62df52a3
Chrysler,Reatta,c78a5179-19c5-4d5d-b9d7-f04dc019bf21,0822e4b2-8c1d-4689-937a-e2e4b34c4e67
Cadillac,626,17531ed5-d759-4e80-a74b-6b86913bebbe,1f29d814-b7db-4bab-bd97-0ae919db01f2
Lincoln,911,217fa029-c093-4fc4-bced-6c3f94fdc7b3,ba836976-6448-4d58-a045-17306db6b839
Ford,Accord,511b1548-9abd-4627-a9a1-dfa1abc30de6,7aee7c2a-bbf2-4a3b-9297-4601b5f1ab94
Audi,Corolla,9a67c7b8-e4fc-4645-b441-8db0182cc2b4,921920c2-0c23-4a63-b603-f2aadbaa02a4
Volkswagen,3 Series,6c770684-340d-429d-b4bb-a0c3c5ca9195,a7eb2918-a099-4329-b911-074cf23d9905
Chevrolet,C-Class,e365cf4f-cafb-41f4-8fa3-39310a083c57,1896fa42-46d3-4e7e-94a9-0911ede3f67b
Maserati,3 Series,4ef6428a-33c3-4adb-a5c6-9d2c9a6c19b6,eae1ddf2-ff41-4af3-a070-143575de3014
BMW,Acadia,eb28780f-8b45-4077-bc98-233a42148edb,fdc5302c-1825-407c-a0ad-d81b27f9e8af
Dodge,1500,86075248-5b72-4eb6-8aa3-fb15757eba79,81944028-bdde-410b-a416-8777f9019572
Chrysler,Yukon,94452ee5-64a8-44be-ab50-11ee509b8560,3d454a11-a5ef-43d5-8822-92d0dd528762
Cadillac,Bronco II,c31dd88d-fb23-4fdf-b661-d36857005db5,3b6c051d-caf2-4801-8e46-9fac8409a8fa
Lincoln,Vision,93a9068f-a64a-437f-9fb2-c79875744f8d,04f50ea8-5956-4246-9177-f6c69ea68727
Ford,Forester,42232ac9-0eb8-4be0-96e4-a92999711a8b,f776463a-8306-441e-81dc-13284432e79c
Audi,500SEL,8d78581c-07ba-40fb-a3e0-45cfa97899d2,86391ffa-7040-4dcc-9f2e-294ae6f96410
Volkswagen,NV1500,701a5546-b0cb-4364-bbed-97df80ee115e,07ee5a3d-7e1d-4cf8-bd9e-ba8e2cdd47b5
Chevrolet,MINI,d3c2c6ab-4b7e-4242-8fe0-a1ecece3d6fa,bdc93c09-81a4-4a04-ad89-05fa13d79924
Maserati,Camaro,89a2e113-e21b-4570-97a1-953d82544e05,250a399d-0154-438a-a211-191cad2c8e55
BMW,Silverado 3500,757922ce-fc3b-4cb6-8698-700b3098c496,f009f1f7-2e32-41e1-9861-6faec152cd64
Dodge,Envoy,d8a7ca18-d3b4-491c-8f63-d6592d49a7aa,ffa3c6d4-fdc4-4086-9a46-77bf7bec4d7e
Chrysler,I,999bfe7b-766d-4ac8-9b4a-afe0c8b23dbf,af40fa6d-2f47-46d4-bf65-5cda2a929d68
Cadillac,Camry,4ecdb0eb-8b0e-4da7-99cb-d31df080015d,857af83d-7061-4743-bb22-26305fae1d4e
Lincoln,SJ,54dbf85b-5b73-4e9a-aeed-b10cd936f78a,2ea9903f-a68d-486d-bb62-22a4a6e91d3e
Ford,S60,7d404302-e638-4fc0-8930-3b3cfae6e130,6fb96478-0d6f-4c78-b840-5173480929c8
Audi,Mark VIII,de7cfceb-8842-480b-8469-ca4af2e5ef80,780aa5ac-592e-4d6f-b93c-2e93f182fcd4
Volkswagen,Freelander,aca5ae8c-d35e-44ca-b82d-6fa839230017,731d3aba-1ba3-46cf-a49f-4b7e68897b97
Chevrolet,Spectra,8a483bcc-776d-47a1-a69c-90f71f4da73c,a14d5da1-d2c9-4d59-8de4-9e45ac8a833d
Maserati,Sonata,9d36903a-2847-4e6c-b34d-d38ab9dd56a9,c2fe9d63-836b-4183-b0d3-3f9a0d0924d4
BMW,HHR,a1886b72-07e5-4bf8-9446-58422e4ba5c7,a440ae8b-456c-4fa5-9ffa-54fab8110eb4
Dodge,Jetta,1db1d3b0-808d-44c5-bda7-2ea38505d9df,7f3af97d-d3eb-48ca-9f99-bdcc63b9e55d
Chrysler,H1,f437b682-fd68-4825-b314-3630b86aa906,38cdc46a-40a4-4d8d-bb0b-f3242167cac6
Cadillac,MX-5,1d31f965-8812-4e3b-a4fd-d052d9cb02c7,ff25d643-7189-410a-8d85-bfa60289ae0d
Lincoln,LeSabre,fe650ae7-6daf-4474-bb00-9692c78251c4,3f6ac5d6-a91b-45f9-a7c8-1db93ff61836
Ford,A4,9cee0119-2f2c-4457-a9d7-d25c0c292e3b,6f5efcbe-d29f-45af-a950-71d5cf6f2068
Audi,Bonneville,5e154381-cf58-4053-ac13-588ef5e9eab4,158f32f2-9e16-4bc4-9492-cfea1740c993
Volkswagen,Mazda6,204d7b16-01b8-4b2b-b394-3594d6de6e33,327cb21b-bdd9-4e7c-82f4-5afbcadf5881
Chevrolet,Celica,244c5a7c-6727-47d6-8f60-1bfe3fc768a3,5033da57-5493-419e-a9da-c753f6d6a839
Maserati,TSX,f718c97c-7c6d-4e17-892f-dfbc9cf7b025,d6c811a4-b7af-4881-9c8e-388cb4ae7502
BMW,LeMans,a34dc5b0-64b4-4bf8-b1b0-7e3af78612a2,3757f679-a9b6-4942-9688-ca65fd59df33
Dodge,Avalon,06f894b5-eb3e-4cba-aa76-d83e32f4a8d8,0dfc2220-4b40-4b32-ac6b-1b7f2ee0c309
Chrysler,Miata MX-5,8be33fac-6377-497c-a09c-cb58fd14d119,cd20ea51-60ca-41e2-9c76-8473c5d08db6
Cadillac,Sundance,89764897-3ad9-4aec-999c-8ffe718180b0,a1f4b997-bf2c-420f-af54-3a47a234cc8a
Lincoln,Ram Van B150,1e4792d3-f52c-40c6-8bfd-5dcfaa4a75c0,23a3ccbc-f461-4d2b-a7e9-5c087ec8fe68
Ford,Thunderbird,5278e4e1-3e57-44e8-8b54-4916ac72625a,ec72a6d1-dacd-436e-8969-6606ea1bc36e
Audi,911,f53b02ed-ba87-439c-bc95-0b77f1a04014,6b215443-c309-42ff-9033-86909c60e589
Volkswagen,Crossfire,d0f8ad20-2a1d-47f5-a7ce-62dbde5fcaef,580b9f88-5bf6-4792-8683-b50a17aea2db
Chevrolet,Galant,10006aaa-0e10-4ee1-b179-78d6ef259576,c162a72c-39ae-4cb9-9f36-cfd8fecd29ae
Maserati,Equinox,9fb22e35-5ce0-4feb-a235-300220f1b056,1e5a96e7-5d11-4adb-9692-c21bdb2f09f0
BMW,3500,5d897746-e1c8-4ff7-99f5-cdce9938e972,d14a6990-a643-4973-89dd-8f3c1e444e91
