Make_id,Make_name,Make_Desc,Make_guid,Product_Make_id,Product_Model_id,Product_Model_Name,Model_Desc,Model_guid,Price
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1d14b99c-106a-4686-9533-233e5c00b3ec,1,1,S-Class,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2f8106d6-3a76-485b-9c61-40ab8339a352,73000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",e704f1ef-6eb9-4163-b00c-57604234600b,2,2,Mustang,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,ba6148e9-91d2-4663-b328-8d8498a92aea,79000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,3,Civic,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",7b216a60-d938-4e41-a303-e482a754aa6e,45000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,4,Town Car,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",dfa13c8f-22eb-4e84-8efd-9caebbc9d49b,59000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,5,MDX,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0ca64bff-c123-4326-852b-1761c8b5efac,89000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",cbe922b7-7627-4531-884c-7b219fc8db0c,6,6,Colorado,Phasellus in felis. Donec semper sapien a libero. Nam dui.,22f7e078-2e3e-40f9-970d-7e82ed7a4fa6,43000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,7,1500,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,cf9c1da7-b505-4856-823d-583e0ef454f2,60000
8,Dodge,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",da9456b4-184a-4e0b-a2c3-6734bfdfb25c,8,8,612 Scaglietti,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",7ddbff85-bdd0-4f93-98b4-b55d41a5ed49,20000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,9,Reatta,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,82853471-3371-4fe5-af49-4cc8a9192df9,49000
10,Cadillac,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",d23f8317-8a88-4d19-9921-369871b0bb1f,10,10,626,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",b3916e1f-3d08-4327-96ca-9f360b39c3ba,79000
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",aa7ecb5a-4e72-4f70-8776-0e156410b728,1,11,911,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,8db6bc17-bfc8-4c51-89f3-7e3eace8196f,76000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",922dfd52-278d-41c0-a1ed-7d49f1859925,2,12,Accord,In quis justo. Maecenas rhoncus aliquam lacus.,033eb402-2332-4192-87b0-a203551c7f17,21000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,d0699821-6e6e-4266-a760-2decb4ca0569,3,13,Corolla,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,fa3197e5-a77f-437d-ae03-7ab40388394b,24000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,d996fbe0-de79-406b-9ba1-42bf5568ee23,4,14,3 Series,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",d066c7c7-6d8b-42a0-8cd8-fe8dfc89f712,59000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,efe64316-15a2-4765-bcc4-52555e4db55b,5,15,C-Class,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2a2f8b6f-b9cc-4457-9979-41a8e7b01045,51000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",e6593f1e-7ffa-4b57-b12f-e56f27b85d34,6,16,3 Series,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,4841815a-7b29-4838-8446-9cbdbc0ab0db,11000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",48c1b040-ee07-48d4-8c53-56efa1de11f4,7,17,Acadia,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,66cc32b6-5874-4221-a78c-0aca6aa9df07,76000
8,Dodge,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4dc19943-2c71-4d48-aff7-02dce9935191,8,18,1500,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,0470f8dc-a2d4-4e7a-a7c4-e8b8676029c3,54000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,f3d019bc-f271-46b7-888e-1e7e1efbf6cd,9,19,Yukon,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",9640f38a-6b92-4586-942b-5ed87358b8ed,25000
10,Cadillac,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",f1fba517-c572-4f85-9466-db8211bb8a73,10,20,Bronco II,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,6e226681-6b9c-4ab8-be47-acd5ecebddd6,45000
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",75ed3496-40f5-44de-a5be-e1216f2382b0,1,21,Vision,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,34fe3957-3f8f-4473-a4b5-8152b7fcf0ea,63000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",9e5abd18-89dd-4eff-bb99-729220f16922,2,22,Forester,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,a88d2c3f-9b4a-4860-8007-e6b0c9473588,58000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,e24d10c9-ecf9-49a4-9314-2e9cc48c5c8b,3,23,500SEL,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",735cb783-80bd-409f-94ca-249099053b04,32000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,76c6289a-05f8-4641-bfbd-6e042b206cef,4,24,NV1500,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",4d1a8337-7869-49c9-8e8c-d8cc21395a6c,21000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,90f0bd4d-df6a-46b7-9d0f-2606500eaf26,5,25,MINI,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,d999ca9d-3954-4575-a95d-cb2955cea71c,76000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",c91ef7e7-c239-47f6-bc4a-db827566bd3b,6,26,Camaro,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,5fabb4d5-9c93-4998-a5be-9eb1072dd9e1,76000
