AddressID,CityID,AddressLine1,AddressLine2,PostalCode
1,2645788,01463 Fisk Road,,
2,2541689,1 Di Loreto Circle,,
3,2601774,0376 Lerdahl Terrace,,19003
4,2538550,8 Roxbury Park,,
5,2618072,75 Westport Hill,5074 Atwood Street,
6,2569932,873 Fair Oaks Point,7 Macpherson Plaza,
7,2623981,34 Grayhawk Trail,,00731
8,2626355,5916 8th Drive,,
9,2612008,6 Victoria Lane,,14730-000
10,2645871,9569 Burning Wood Place,680 Kingsford Circle,
11,2630484,451 Duke Crossing,91 Fallview Court,05-509
12,2660277,0 Moland Road,96556 Bluejay Road,357974
13,2569718,03206 Towne Circle,,
14,2619262,64 Elmside Place,1377 Fair Oaks Place,L-3883
15,2578606,3176 Onsgard Avenue,,22179
16,2650194,73 Lyons Junction,6443 Tony Court,43-426
17,2572701,83 Pankratz Crossing,9445 Evergreen Trail,
18,2583414,476 Acker Street,,
19,2582759,3 Manley Lane,,6419
20,2595709,72 Stuart Circle,,
21,2648820,6 Stephen Hill,1 Sunbrook Plaza,59600-000
22,2600309,2 Hoard Pass,56 Hooker Circle,8365-105
23,2645880,3160 Atwood Road,9 Walton Terrace,
24,2612247,071 Manufacturers Lane,9046 Macpherson Avenue,664 61
25,2543126,5534 3rd Drive,7006 Crest Line Point,
26,2591110,87721 Longview Avenue,106 Manitowish Plaza,36450
27,2586573,16 Wayridge Pass,,4980-782
28,2578637,3131 Monument Place,,
29,2542012,6 Jana Alley,,
30,2530423,5 Gale Crossing,,
31,2661818,36848 Cody Parkway,6 Pierstorff Center,35700-000
32,2634105,4368 Jana Alley,,9207
33,2569963,403 Morningstar Crossing,12 Almo Pass,
34,2547522,0 Buena Vista Avenue,,
35,2656215,66669 Sunbrook Trail,863 Ilene Road,641115
36,2629808,265 Morrow Terrace,101 Kennedy Trail,01054
37,2554402,39 Sundown Place,,
38,2619304,642 Butterfield Hill,,143591
39,2619584,609 Coolidge Court,81 Hazelcrest Center,
40,2533377,70 Dottie Point,,27600-000
41,2660175,26054 Michigan Plaza,,4715
42,2637651,23 Elka Trail,,26-811
43,2535869,5430 Northfield Hill,,45190
44,2632874,288 Bayside Road,78922 Westridge Way,
45,2608749,22 Kim Terrace,5 Rusk Pass,
46,2585466,15484 Del Sol Way,,
47,2552192,96328 Ryan Avenue,86341 Monterey Center,753 26
48,2552517,295 Kinsman Terrace,,
49,2632768,97 Bartelt Road,,19-120
50,2627066,17 Jenna Parkway,0881 Sauthoff Road,
