OrderID,AddressID,CustomerID,EmployeeID,OrderStatus,OrderDate,RequiredDate,ShipDate,Freight,SalesTax
1,1,1,62,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-06,2020-02-12,2020-02-11,1840.95,509.60
2,2,2,72,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-14,2020-01-26,2020-01-26,1920.91,570.52
3,3,3,79,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-06,2020-05-20,2020-05-07,1080.66,818.99
4,4,4,90,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-06,2020-11-15,2020-11-05,1557.31,896.73
5,5,5,138,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-29,2020-10-12,2020-10-09,1786.85,261.66
6,6,6,17,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-17,2020-07-28,2020-07-27,1065.40,879.75
7,7,7,137,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-27,2020-04-07,2020-04-04,1408.03,112.06
8,8,8,68,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-06,2020-08-19,2020-08-14,1315.57,217.24
9,9,9,77,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-12,2020-03-21,2020-03-20,1756.75,783.52
10,10,10,91,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-14,2020-07-27,2020-07-21,1670.84,678.90
11,11,11,147,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-04,2020-09-15,2020-09-11,1376.46,675.96
12,12,12,196,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-13,2020-05-22,2020-05-22,1416.35,521.75
13,13,13,52,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-31,2020-06-12,2020-05-29,1839.54,257.72
14,14,14,62,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-29,2020-09-09,2020-09-04,1602.54,873.80
15,15,15,50,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-27,2020-06-03,2020-06-06,1113.18,888.87
