OrderID,AddressID,CustomerID,PaymentID,EmployeeID,OrderStatus,OrderDate,RequiredDate,ShipDate,Freight,SalesTax
1,1,1,1,27,Shipped,2020-05-03,2020-05-12,2020-05-09,1278.93,912.07
2,2,2,2,57,New,2020-04-14,2020-04-25,2020-04-24,1469.99,675.81
3,3,3,3,29,Paid,2020-06-05,2020-06-16,2020-06-07,1886.29,703.28
4,4,4,4,14,Shipped,2020-11-07,2020-11-12,2020-11-15,1861.47,176.74
5,5,5,5,88,New,2020-04-28,2020-05-08,2020-05-05,1242.25,781.56
6,6,6,6,19,New,2020-08-29,2020-09-07,2020-08-30,1164.65,539.86
7,7,7,7,139,Unshipped,2020-03-23,2020-04-04,2020-03-20,1485.92,284.81
8,8,8,8,45,Unshipped,2020-11-22,2020-12-01,2020-11-18,1730.88,854.94
9,9,9,9,34,Unshipped,2020-09-04,2020-09-14,2020-09-09,1175.85,297.15
10,10,10,10,137,Paid,2020-04-05,2020-04-16,2020-04-09,1962.45,569.81
11,11,11,11,190,Paid,2020-02-14,2020-02-23,2020-02-27,1608.43,953.67
12,12,12,12,8,Shipped,2020-01-14,2020-01-24,2020-01-20,1716.11,754.31
13,13,13,13,61,Unshipped,2020-07-21,2020-08-01,2020-07-26,1821.03,651.68
14,14,14,14,136,Paid,2020-01-21,2020-02-01,2020-01-20,1791.29,867.06
15,15,15,15,38,Unshipped,2020-02-24,2020-03-05,2020-03-03,1120.79,924.29
16,1,1,16,172,Shipped,2020-07-04,2020-07-13,2020-07-11,1436.57,129.04
17,2,2,17,82,Unshipped,2020-04-19,2020-05-01,2020-04-30,1000.11,707.07
18,3,3,18,143,Paid,2020-10-15,2020-10-21,2020-10-20,1538.19,607.11
19,4,4,19,159,Paid,2020-03-07,2020-03-20,2020-03-12,1162.30,585.18
20,5,5,20,83,New,2020-09-25,2020-10-08,2020-09-28,1862.72,168.74
21,6,6,21,41,New,2020-10-02,2020-10-13,2020-10-05,1269.01,730.99
22,7,7,22,61,New,2020-10-26,2020-11-03,2020-11-04,1512.01,489.03
23,8,8,23,162,Paid,2020-05-08,2020-05-22,2020-05-14,1195.33,558.52
24,9,9,24,168,Paid,2020-07-29,2020-08-04,2020-08-03,1491.41,103.39
25,10,10,25,59,Shipped,2020-10-18,2020-10-27,2020-10-20,1613.26,346.69
26,11,11,26,189,Shipped,2020-01-24,2020-02-01,2020-01-28,1939.12,232.00
27,12,12,27,52,Shipped,2020-05-22,2020-06-02,2020-05-25,1020.04,222.75
28,13,13,28,100,Unshipped,2020-11-28,2020-12-11,2020-11-29,1371.22,626.78
29,14,14,29,1,Unshipped,2020-02-27,2020-03-10,2020-03-07,1005.51,627.58
30,15,15,30,38,Unshipped,2020-03-05,2020-03-16,2020-03-03,1754.88,606.56
