OrderID,ProductID,UnitPrice,Quantity,Discount
1,1,73000,5,1.5
2,2,79000,20,2
3,3,45000,5,2.5
4,4,59000,25,1.5
5,5,89000,5,1
6,6,43000,5,2.5
7,7,60000,25,2
8,8,20000,10,1
9,9,49000,15,0.5
10,10,79000,20,0.5
11,11,76000,10,1
12,12,21000,10,1.5
13,13,24000,5,2.5
14,14,59000,25,2.5
15,15,51000,5,1.5
16,16,11000,25,2
17,17,76000,20,1
18,18,54000,10,1
19,19,25000,20,1
20,20,45000,5,2
21,21,63000,10,2
22,22,58000,15,2.5
23,23,32000,5,1
24,24,21000,5,0.5
25,25,76000,10,0.5
26,26,76000,5,0.5
27,27,43000,20,0.5
28,28,40000,15,2.5
29,29,69000,10,0.5
30,30,33000,15,2.5
31,31,39000,25,2
32,32,50000,5,2
33,33,80000,5,1
34,34,60000,15,0.5
35,35,27000,10,1
36,36,22000,25,0.5
37,37,52000,10,1
38,38,73000,25,2
39,39,90000,10,1
40,40,52000,10,1
41,41,95000,20,0.5
42,42,66000,25,0.5
43,43,94000,10,0.5
44,44,66000,10,1
45,45,87000,5,1.5
46,46,41000,10,2.5
47,47,59000,25,1
48,48,84000,5,2.5
49,49,48000,25,2
50,50,91000,10,1
51,51,71000,10,1.5
52,52,82000,15,2.5
53,53,48000,5,2
54,54,97000,20,0.5
55,55,78000,25,0.5
56,56,44000,10,1.5
57,57,67000,25,1
58,58,54000,25,0.5
59,59,99000,5,1
60,60,46000,25,0.5
61,61,79000,5,1
62,62,71000,15,2
63,63,70000,15,1
64,64,69000,10,1
65,65,95000,5,0.5
66,66,39000,5,2
67,67,84000,20,2
68,68,53000,10,2.5
69,69,93000,25,2
70,70,38000,20,1.5
71,71,86000,15,0.5
72,72,89000,25,2.5
73,73,97000,10,2.5
74,74,24000,10,0.5
75,75,88000,15,2
76,76,11000,25,2.5
77,77,73000,5,2.5
78,78,93000,20,1
79,79,68000,25,2.5
80,80,97000,15,1.5
81,81,64000,5,1
82,82,60000,10,1.5
83,83,22000,10,2
84,84,91000,25,2.5
85,85,38000,10,1.5
86,86,44000,15,1.5
87,87,71000,20,1
88,88,62000,25,1.5
89,89,62000,25,2.5
90,90,83000,5,2
91,91,29000,10,2.5
92,92,76000,20,1
93,93,64000,10,2.5
94,94,27000,5,1
95,95,60000,20,1
96,96,96000,15,1
97,97,62000,10,0.5
98,98,33000,20,1
99,99,40000,15,1
100,100,80000,20,1
101,1,73000,20,0.5
102,2,79000,15,2
103,3,45000,10,2
104,4,59000,20,2
105,5,89000,15,1
106,6,43000,5,1
107,7,60000,15,1.5
108,8,20000,25,2.5
109,9,49000,15,1.5
110,10,79000,10,2.5
111,11,76000,10,2
112,12,21000,15,1
113,13,24000,20,2.5
114,14,59000,20,2.5
115,15,51000,10,2
116,16,11000,15,0.5
117,17,76000,20,2
118,18,54000,10,1.5
119,19,25000,10,0.5
120,20,45000,20,0.5
121,21,63000,25,0.5
122,22,58000,5,0.5
123,23,32000,25,1.5
124,24,21000,5,1
125,25,76000,25,1
126,26,76000,15,2.5
127,27,43000,5,2
128,28,40000,20,1
129,29,69000,25,2.5
130,30,33000,20,1.5
131,31,39000,20,1
132,32,50000,15,2
133,33,80000,20,1
134,34,60000,5,1
135,35,27000,25,1.5
136,36,22000,20,2
137,37,52000,15,0.5
138,38,73000,25,1.5
139,39,90000,15,1.5
140,40,52000,10,2
141,41,95000,5,2
142,42,66000,10,1.5
