OrderID,AddressID,CustomerID,EmployeeID,OrderStatusID,OrderDate,RequiredDate,ShipDate
1,1,1,18,3,2020-02-20,2020-03-03,2020-02-23
2,2,2,14,2,2020-07-08,2020-07-21,2020-07-12
3,3,3,1,2,2020-01-30,2020-02-10,2020-01-30
4,4,4,2,2,2020-03-18,2020-03-28,2020-03-27
5,5,5,20,1,2020-11-27,2020-12-10,2020-12-02
6,6,6,12,2,2020-11-05,2020-11-18,2020-11-11
7,7,7,7,3,2020-03-20,2020-03-30,2020-03-24
8,8,8,2,2,2020-04-19,2020-05-03,2020-04-23
9,9,9,14,3,2020-03-23,2020-04-03,2020-03-28
10,10,10,9,3,2020-11-01,2020-11-08,2020-10-27
11,11,11,16,2,2020-06-09,2020-06-18,2020-06-23
12,12,12,15,2,2020-02-03,2020-02-13,2020-02-08
13,13,13,10,2,2020-06-19,2020-06-27,2020-06-20
14,14,14,3,2,2020-06-13,2020-06-24,2020-06-11
15,15,15,17,2,2020-11-09,2020-11-18,2020-11-05
16,16,16,8,3,2020-04-07,2020-04-18,2020-04-06
17,17,17,8,3,2020-07-05,2020-07-16,2020-07-08
18,18,18,8,3,2020-11-29,2020-12-08,2020-12-07
19,19,19,15,2,2020-11-16,2020-11-22,2020-11-16
20,20,20,12,2,2020-11-11,2020-11-25,2020-11-08
21,21,21,8,2,2020-09-29,2020-10-10,2020-09-30
22,22,22,11,3,2020-02-18,2020-02-27,2020-02-22
23,23,23,17,3,2020-08-24,2020-09-02,2020-08-31
24,24,24,3,1,2020-04-02,2020-04-14,2020-04-10
25,25,25,11,1,2020-07-15,2020-07-25,2020-07-25
26,26,26,12,2,2020-02-08,2020-02-19,2020-02-13
27,27,27,1,3,2020-09-16,2020-09-27,2020-09-18
28,28,28,8,1,2020-07-08,2020-07-18,2020-07-15
29,29,29,4,3,2020-06-29,2020-07-13,2020-07-09
30,30,30,9,2,2020-02-05,2020-02-15,2020-02-04
31,31,31,5,1,2020-04-14,2020-04-24,2020-04-18
32,32,32,17,3,2020-07-13,2020-07-24,2020-07-17
33,33,33,3,2,2020-04-21,2020-05-01,2020-04-22
34,34,34,15,1,2020-09-11,2020-09-22,2020-09-11
35,35,35,5,1,2020-09-28,2020-10-08,2020-10-04
36,36,36,11,3,2020-07-21,2020-07-28,2020-07-29
37,37,37,7,2,2020-05-08,2020-05-18,2020-05-06
38,38,38,19,1,2020-09-21,2020-10-04,2020-09-20
39,39,39,20,3,2020-04-18,2020-04-25,2020-04-22
40,40,40,14,1,2020-10-18,2020-10-28,2020-10-28
41,41,41,13,2,2020-09-04,2020-09-12,2020-09-08
42,42,42,1,1,2020-09-30,2020-10-10,2020-10-04
43,43,43,19,2,2020-07-13,2020-07-23,2020-07-21
44,44,44,16,2,2020-06-01,2020-06-12,2020-06-05
45,45,45,8,1,2020-05-09,2020-05-19,2020-05-09
46,46,46,12,2,2020-10-27,2020-11-07,2020-11-10
47,47,47,2,1,2020-02-11,2020-02-21,2020-02-13
48,48,48,17,1,2020-04-27,2020-05-05,2020-05-01
49,49,49,19,3,2020-11-26,2020-12-05,2020-11-26
50,50,50,14,1,2020-01-18,2020-01-31,2020-01-26
51,51,51,8,3,2020-05-26,2020-06-04,2020-06-02
52,52,52,6,2,2020-06-02,2020-06-10,2020-06-03
53,53,53,8,2,2020-05-13,2020-05-23,2020-05-15
54,54,54,18,3,2020-07-09,2020-07-13,2020-07-10
55,55,55,15,1,2020-09-30,2020-10-13,2020-10-03
56,56,56,4,2,2020-10-29,2020-11-09,2020-11-04
57,57,57,17,2,2020-08-12,2020-08-26,2020-08-20
58,58,58,11,1,2020-03-01,2020-03-06,2020-03-13
59,59,59,4,2,2020-09-05,2020-09-14,2020-09-09
60,60,60,13,3,2020-06-15,2020-06-23,2020-06-19
61,61,61,8,1,2020-11-03,2020-11-13,2020-11-03
62,62,62,15,3,2020-11-21,2020-12-04,2020-12-03
63,63,63,20,3,2020-03-22,2020-03-30,2020-03-30
64,64,64,16,1,2020-11-04,2020-11-13,2020-11-10
65,65,65,6,1,2020-05-27,2020-06-03,2020-06-01
66,66,66,5,1,2020-10-11,2020-10-20,2020-10-15
67,67,67,6,3,2020-08-31,2020-09-13,2020-09-05
68,68,68,4,2,2020-01-10,2020-01-21,2020-01-15
69,69,69,15,2,2020-08-22,2020-09-02,2020-08-19
70,70,70,10,3,2020-06-08,2020-06-20,2020-06-08
71,71,71,3,2,2020-01-19,2020-01-30,2020-01-25
72,72,72,19,1,2020-06-07,2020-06-15,2020-06-05
73,73,73,15,2,2020-09-04,2020-09-12,2020-09-06
74,74,74,5,3,2020-05-05,2020-05-15,2020-05-11
75,75,75,16,2,2020-11-24,2020-12-02,2020-11-18
76,76,76,6,3,2020-04-05,2020-04-16,2020-04-14
77,77,77,12,2,2020-08-20,2020-08-27,2020-08-17
78,78,78,17,2,2020-05-31,2020-06-11,2020-06-06
79,79,79,8,3,2020-10-08,2020-10-20,2020-10-12
80,80,80,3,3,2020-02-12,2020-02-24,2020-02-18
81,81,81,16,3,2020-10-07,2020-10-16,2020-10-03
82,82,82,10,1,2020-04-22,2020-05-03,2020-04-28
83,83,83,12,3,2020-01-16,2020-01-21,2020-01-24
84,84,84,20,3,2020-03-05,2020-03-16,2020-03-04
85,85,85,14,1,2020-11-04,2020-11-12,2020-11-06
86,86,86,1,2,2020-06-10,2020-06-19,2020-06-13
87,87,87,15,3,2020-11-11,2020-11-19,2020-11-21
88,88,88,5,3,2020-03-28,2020-04-07,2020-04-06
89,89,89,20,3,2020-05-28,2020-06-05,2020-05-29
90,90,90,16,3,2020-07-25,2020-08-04,2020-07-28
91,91,91,20,3,2020-07-07,2020-07-13,2020-07-08
92,92,92,17,1,2020-02-08,2020-02-21,2020-02-06
93,93,93,16,3,2020-07-23,2020-08-02,2020-07-28
94,94,94,10,2,2020-11-09,2020-11-17,2020-11-15
95,95,95,19,3,2020-07-18,2020-07-28,2020-07-19
96,96,96,8,3,2020-05-03,2020-05-12,2020-05-07
97,97,97,17,3,2020-11-06,2020-11-17,2020-11-14
98,98,98,16,2,2020-01-24,2020-02-07,2020-01-28
99,99,99,8,1,2020-06-12,2020-06-20,2020-06-17
100,100,100,17,3,2020-09-13,2020-09-24,2020-09-18
101,101,1,8,2,2020-08-03,2020-08-15,2020-08-12
102,102,2,2,2,2020-03-06,2020-03-13,2020-03-07
103,103,3,9,1,2020-07-08,2020-07-17,2020-07-07
104,104,4,3,2,2020-03-13,2020-03-22,2020-03-18
105,105,5,6,3,2020-02-11,2020-02-18,2020-02-13
106,1,1,13,3,2020-05-25,2020-06-05,2020-05-27
107,2,2,9,3,2020-01-29,2020-02-05,2020-02-01
108,3,3,9,3,2020-11-23,2020-12-06,2020-11-22
109,4,4,12,1,2020-10-07,2020-10-17,2020-10-07
110,5,5,20,1,2020-03-29,2020-04-08,2020-04-01
111,6,6,12,1,2020-03-06,2020-03-15,2020-03-09
112,7,7,9,1,2020-02-07,2020-02-18,2020-02-10
113,8,8,17,3,2020-08-20,2020-08-26,2020-08-28
114,9,9,8,2,2020-02-24,2020-03-08,2020-03-04
115,10,10,15,3,2020-05-05,2020-05-13,2020-05-11
116,11,11,15,3,2020-05-21,2020-05-28,2020-05-21
117,12,12,4,3,2020-05-30,2020-06-09,2020-06-06
118,13,13,5,1,2020-10-05,2020-10-16,2020-10-11
119,14,14,10,2,2020-08-22,2020-08-30,2020-08-28
120,15,15,4,1,2020-06-21,2020-06-29,2020-07-02
121,16,16,20,3,2020-10-03,2020-10-14,2020-10-11
122,17,17,4,1,2020-11-26,2020-12-06,2020-12-06
123,18,18,11,3,2020-06-03,2020-06-17,2020-06-06
124,19,19,15,1,2020-03-10,2020-03-25,2020-03-14
125,20,20,14,3,2020-10-23,2020-10-31,2020-10-21
126,21,21,8,2,2020-09-21,2020-09-27,2020-09-19
127,22,22,20,3,2020-09-29,2020-10-07,2020-10-03
128,23,23,1,3,2020-03-14,2020-03-22,2020-03-16
129,24,24,18,1,2020-09-28,2020-10-05,2020-10-03
130,25,25,1,3,2020-06-04,2020-06-13,2020-06-13
131,26,26,20,1,2020-04-20,2020-04-30,2020-04-21
132,27,27,20,2,2020-11-17,2020-11-28,2020-11-26
133,28,28,9,3,2020-07-17,2020-07-28,2020-07-17
134,29,29,13,3,2020-11-14,2020-11-22,2020-11-28
135,30,30,4,1,2020-11-09,2020-11-19,2020-11-11
136,31,31,18,1,2020-10-02,2020-10-12,2020-10-02
137,32,32,12,2,2020-08-03,2020-08-12,2020-08-10
138,33,33,2,2,2020-08-24,2020-09-04,2020-09-04
139,34,34,13,2,2020-11-18,2020-11-27,2020-11-25
140,35,35,7,1,2020-05-15,2020-05-25,2020-05-20
141,36,36,19,2,2020-08-30,2020-09-09,2020-09-03
142,37,37,8,3,2020-08-11,2020-08-25,2020-08-20
143,38,38,20,1,2020-06-18,2020-06-30,2020-06-18
144,39,39,5,1,2020-03-07,2020-03-17,2020-03-10
145,40,40,15,2,2020-11-05,2020-11-15,2020-11-07
146,41,41,15,1,2020-11-20,2020-12-01,2020-11-17
147,42,42,17,1,2020-06-05,2020-06-12,2020-06-13
148,43,43,1,3,2020-11-18,2020-12-02,2020-11-22
149,44,44,3,3,2020-06-14,2020-06-23,2020-06-13
150,45,45,10,1,2020-03-17,2020-03-22,2020-04-01
151,46,46,17,2,2020-08-15,2020-08-23,2020-08-19
152,47,47,19,3,2020-05-18,2020-05-30,2020-05-24
153,48,48,10,2,2020-11-08,2020-11-20,2020-11-19
154,49,49,1,2,2020-04-11,2020-04-20,2020-04-15
155,50,50,10,2,2020-01-07,2020-01-14,2020-01-08
156,51,51,15,3,2020-10-30,2020-11-07,2020-11-06
157,52,52,17,2,2020-03-12,2020-03-21,2020-03-21
158,53,53,19,2,2020-10-08,2020-10-16,2020-10-11
159,54,54,4,1,2020-09-13,2020-09-22,2020-09-14
160,55,55,6,1,2020-01-01,2020-01-09,2020-01-05
161,56,56,11,1,2020-04-27,2020-05-07,2020-05-04
162,57,57,18,1,2020-09-14,2020-09-27,2020-09-12
163,58,58,19,1,2020-03-06,2020-03-18,2020-03-09
164,59,59,17,2,2020-10-07,2020-10-19,2020-10-13
165,60,60,8,3,2020-01-01,2020-01-09,2020-01-01
166,61,61,12,1,2020-09-19,2020-09-29,2020-09-30
167,62,62,12,1,2020-05-09,2020-05-19,2020-05-17
168,63,63,5,3,2020-02-08,2020-02-18,2020-02-12
169,64,64,20,1,2020-09-30,2020-10-11,2020-10-04
170,65,65,7,3,2020-06-15,2020-06-27,2020-06-24
171,66,66,5,2,2020-10-15,2020-10-27,2020-10-15
172,67,67,11,2,2020-10-07,2020-10-22,2020-10-15
173,68,68,12,3,2020-07-30,2020-08-11,2020-08-02
174,69,69,20,3,2020-04-12,2020-04-23,2020-04-16
175,70,70,17,2,2020-01-15,2020-01-24,2020-01-15
176,71,71,9,3,2020-11-29,2020-12-08,2020-12-03
177,72,72,14,1,2020-09-09,2020-09-18,2020-09-14
178,73,73,6,3,2020-05-04,2020-05-17,2020-05-03
179,74,74,17,1,2020-01-04,2020-01-14,2020-01-09
180,75,75,16,2,2020-05-05,2020-05-16,2020-05-02
181,76,76,17,3,2020-02-11,2020-02-20,2020-02-17
182,77,77,10,3,2020-01-23,2020-02-02,2020-01-25
183,78,78,10,3,2020-10-30,2020-11-09,2020-11-03
184,79,79,4,1,2020-03-21,2020-03-29,2020-03-26
185,80,80,8,3,2020-04-05,2020-04-13,2020-04-09
186,81,81,3,2,2020-10-19,2020-10-31,2020-10-21
187,82,82,13,2,2020-01-11,2020-01-19,2020-01-07
188,83,83,19,2,2020-08-13,2020-08-23,2020-08-18
189,84,84,14,2,2020-02-01,2020-02-09,2020-02-12
190,85,85,19,3,2020-01-18,2020-01-27,2020-01-21
191,86,86,14,1,2020-11-26,2020-12-08,2020-11-24
192,87,87,14,2,2020-02-16,2020-02-28,2020-02-18
193,88,88,11,3,2020-04-06,2020-04-13,2020-04-15
194,89,89,14,3,2020-03-16,2020-03-29,2020-03-19
195,90,90,11,1,2020-02-17,2020-02-28,2020-02-27
196,91,91,18,2,2020-03-15,2020-03-28,2020-03-23
197,92,92,16,3,2020-04-20,2020-05-02,2020-04-18
198,93,93,12,3,2020-01-19,2020-01-30,2020-01-20
199,94,94,7,2,2020-02-28,2020-03-10,2020-03-05
200,95,95,9,3,2020-08-07,2020-08-17,2020-08-07
201,96,96,13,2,2020-02-05,2020-02-12,2020-02-02
202,97,97,15,2,2020-01-09,2020-01-20,2020-01-14
203,98,98,11,3,2020-09-20,2020-09-29,2020-10-01
204,99,99,11,1,2020-06-15,2020-06-28,2020-06-22
205,100,100,17,3,2020-06-14,2020-06-21,2020-06-17
206,101,1,6,2,2020-02-26,2020-03-05,2020-03-04
207,102,2,16,2,2020-07-16,2020-07-28,2020-07-19
208,103,3,12,2,2020-03-06,2020-03-19,2020-03-20
209,104,4,8,3,2020-04-15,2020-04-28,2020-04-19
210,105,5,12,1,2020-04-04,2020-04-15,2020-04-16
211,1,1,1,1,2020-09-14,2020-09-25,2020-09-20
212,2,2,10,2,2020-05-11,2020-05-22,2020-05-10
213,3,3,9,3,2020-04-26,2020-05-08,2020-04-24
214,4,4,15,2,2020-07-10,2020-07-22,2020-07-10
215,5,5,7,2,2020-06-30,2020-07-10,2020-06-28
216,6,6,16,2,2020-02-02,2020-02-13,2020-02-13
217,7,7,4,2,2020-05-29,2020-06-13,2020-06-01
218,8,8,1,2,2020-10-09,2020-10-21,2020-10-06
219,9,9,16,1,2020-07-07,2020-07-19,2020-07-20
220,10,10,17,2,2020-10-05,2020-10-14,2020-10-10
221,11,11,17,3,2020-03-14,2020-03-21,2020-03-20
222,12,12,8,3,2020-03-29,2020-04-10,2020-04-04
223,13,13,9,1,2020-09-06,2020-09-19,2020-09-17
224,14,14,7,2,2020-03-01,2020-03-11,2020-03-04
225,15,15,19,3,2020-10-24,2020-11-05,2020-10-30
226,16,16,10,2,2020-11-30,2020-12-11,2020-12-03
227,17,17,16,3,2020-03-12,2020-03-19,2020-03-13
228,18,18,12,1,2020-11-17,2020-11-29,2020-11-29
229,19,19,5,1,2020-05-25,2020-06-08,2020-06-06
230,20,20,11,3,2020-06-16,2020-06-26,2020-06-21
231,21,21,2,3,2020-08-01,2020-08-11,2020-08-08
232,22,22,5,3,2020-03-31,2020-04-09,2020-04-07
233,23,23,7,2,2020-07-10,2020-07-25,2020-07-19
234,24,24,15,1,2020-08-23,2020-08-31,2020-09-04
235,25,25,16,2,2020-07-11,2020-07-22,2020-07-23
236,26,26,5,2,2020-06-05,2020-06-15,2020-06-12
237,27,27,15,2,2020-06-22,2020-07-01,2020-06-28
238,28,28,20,1,2020-10-11,2020-10-20,2020-10-23
239,29,29,15,2,2020-04-23,2020-05-04,2020-04-29
240,30,30,16,1,2020-07-23,2020-07-30,2020-07-25
241,31,31,2,2,2020-01-21,2020-01-30,2020-01-20
242,32,32,4,1,2020-03-23,2020-04-02,2020-04-04
243,33,33,1,3,2020-09-28,2020-10-07,2020-10-08
244,34,34,2,3,2020-07-29,2020-08-10,2020-08-07
245,35,35,9,1,2020-01-22,2020-02-05,2020-01-25
246,36,36,5,3,2020-01-01,2020-01-12,2020-01-08
247,37,37,8,1,2020-11-25,2020-12-02,2020-12-03
248,38,38,10,3,2020-04-23,2020-05-04,2020-04-26
249,39,39,1,1,2020-01-16,2020-01-29,2020-01-21
250,40,40,12,1,2020-07-11,2020-07-23,2020-07-12
251,41,41,20,1,2020-06-07,2020-06-17,2020-06-13
252,42,42,5,3,2020-07-06,2020-07-16,2020-07-06
253,43,43,6,1,2020-08-04,2020-08-17,2020-08-07
254,44,44,17,2,2020-08-14,2020-08-24,2020-08-20
255,45,45,6,3,2020-07-23,2020-08-05,2020-07-26
256,46,46,17,3,2020-10-09,2020-10-22,2020-10-16
257,47,47,12,3,2020-06-13,2020-06-20,2020-06-12
258,48,48,1,1,2020-02-21,2020-03-02,2020-02-21
259,49,49,13,3,2020-01-21,2020-02-01,2020-01-25
